data_type,n,d,livello,rep,method,measure,acc./ARI
Torus,100,10,facile,44,tsne,tree,0.95
Torus,100,10,facile,44,umap,kmeans,0.263
Torus,100,10,facile,44,umap,tree,0.95
Torus,100,10,facile,44,pca,kmeans,0.0935
Torus,100,10,facile,44,pca,tree,0.85
Gauss,100,10,facile,45,tsne,kmeans,0.5135
Gauss,100,10,facile,45,tsne,tree,0.89
Gauss,100,10,facile,45,umap,kmeans,0.4848
Gauss,100,10,facile,45,umap,tree,0.89
Gauss,100,10,facile,45,pca,kmeans,0.5734
Gauss,100,10,facile,45,pca,tree,0.9
Torus,100,10,facile,45,tsne,kmeans,0.1067
Torus,100,10,facile,45,tsne,tree,0.94
Torus,100,10,facile,45,umap,kmeans,0.1207
Torus,100,10,facile,45,umap,tree,0.98
Torus,100,10,facile,45,pca,kmeans,0.0302
Torus,100,10,facile,45,pca,tree,0.87
Gauss,100,10,facile,46,tsne,kmeans,0.6044
Gauss,100,10,facile,46,tsne,tree,0.88
Gauss,100,10,facile,46,umap,kmeans,0.5135
Gauss,100,10,facile,46,umap,tree,0.88
Gauss,100,10,facile,46,pca,kmeans,0.543
